track_id,track_name,track_artist,title_and_artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,time_signature
7jtQIBanIiJOMS6RyCx6jZ,Another Love,Tom Odell,anotherlovetomodell,0.442,0.538,-8.55,0,0.0451,0.717,2.95E-05,0.139,122.758,244360,4
65FftemJ1DbbZ45DUfHJXE,OMG,NewJeans,omgnewjeans,0.804,0.771,-4.067,0,0.0433,0.357,3.07E-06,0.739,126.956,212253,4
2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,"quevedo:bzrpmusicsessions,vol.52bizarrap",0.621,0.782,-5.548,1,0.044,0.0125,0.033,0.55,128.033,198938,4
4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,OneRepublic,iain'tworriedonerepublic,0.697,0.802,-6.412,1,0.0456,0.0988,3.55E-05,0.822,139.951,148120,4
5mHdCZtVyb4DcJw8799hZp,Escapism.,RAYE,escapism.raye,0.538,0.742,-5.355,1,0.114,0.138,4.67E-05,0.25,96.107,272373,4
7cQ0LAxT5HHCLGbxcjaxac,"Arcángel: Bzrp Music Sessions, Vol. 54",Bizarrap,"arcángel:bzrpmusicsessions,vol.54bizarrap",0.716,0.78,-3.495,0,0.297,0.55,0,0.786,123.856,228387,4
6UN73IYd0hZxLi8wFPMQij,Players,Coi Leray,playerscoileray,0.954,0.516,-5.817,1,0.16,0.03,7.54E-06,0.624,105.001,139560,4
561jH07mF1jHuk7KlaeF0s,Mockingbird,Eminem,mockingbirdeminem,0.637,0.678,-3.798,1,0.266,0.209,0,0.254,84.039,250760,4
3kf0WdFOalKWBkCCLJo4mA,El Gordo Trae El Mando,Chino Pacas,elgordotraeelmandochinopacas,0.736,0.8,-5.38,0,0.0525,0.179,0,0.961,140.253,112087,3
2CeKVsFFXG4QzA415QygGb,Feliz Cumpleaños Ferxxo,Feid,felizcumpleañosferxxofeid,0.865,0.573,-5.501,1,0.0678,0.0863,0,0.563,94.999,155960,4
2mnXxnrX5vCGolNkaFvVeM,La Jumpa,Arcángel,lajumpaarcángel,0.887,0.234,-14.52,1,0.178,0.111,0.67,0.197,140.02,196800,4
0UbesRsX2TtiCeamOIVEkp,Ch y la Pizza,Fuerza Regida,chylapizzafuerzaregida,0.628,0.668,-2.722,1,0.117,0.329,0,0.845,148.746,136913,3
7MVIfkyzuUmQ716j8U7yGR,Rara Vez,Taiu,raraveztaiu,0.838,0.708,-4.668,0,0.166,0.176,0,0.96,119.984,128677,4
59hBR0BCtJsfIbV9VzCVAp,Set Me Free Pt.2,Jimin,setmefreept.2jimin,0.585,0.815,-4.165,0,0.0565,0.115,0,0.564,132.09,200930,4
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,snoozesza,0.559,0.551,-7.231,1,0.132,0.141,0,0.392,143.008,201800,4
54ipXppHLA8U4yqpOFTUhr,Bones,Imagine Dragons,bonesimaginedragons,0.772,0.75,-3.67,0,0.0455,0.0201,0,0.587,114.061,165265,4
6TBzRwnX2oYd8aOrOuyK1p,Fin de Semana,Oscar Maydon,findesemanaoscarmaydon,0.699,0.541,-4.943,1,0.0826,0.0628,0,0.365,98.395,224921,4
